utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
1774365515422,1055122599000000,18,0.0,-1457345610823438498,-0.3181953430175781,65.74150029337034,-2.9642244898054755,16.980841735946765,37,10,0.0,16399,227933348819978,13,36.3,420.5603332519531,0.03989195451140404,16,0.0,0.0,1575420000,,,,0,,1,-49.42,31.299999999999997,0.0,0.0,,,C,1194727305468495,1,7069793.792938832,13020283.093365252,22334303.59223084,-2627.8656911780913,841.0232138441161,313.688413800858,-176982.60105883452,0.0009373340581078082,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1774365515422,1055122599000000,18,0.0,-1457345610823438498,-0.3181953430175781,65.74150029337034,-2.9642244898054755,16.980841735946765,37,32,0.0,16399,227933346179964,92,20.3,-347.5428466796875,2.615499973297119,16,0.0,0.0,1575420000,,,,0,,1,-49.42,15.3,0.0,0.0,,,C,1194727305468495,1,14606904.39652136,20648059.447358347,8686705.629014773,-941.9229475916575,-530.3111598584163,2920.1228526094246,-9840.033884742401,0.006336722661217209,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1774365515422,1055122599000000,18,0.0,-1457345610823438498,-0.3181953430175781,65.74150029337034,-2.9642244898054755,16.980841735946765,37,19,0.0,49359,65915352312052,106,19.2,418.7163391113281,3.564500093460083,16,0.0,0.0,1603687600,,,,0,,3,-45.33,14.2,4845.994140625,20.814550399780273,,,C,1194727305468495,1,9081199.514537802,17474834.427418835,16173175.52911229,263.17215426741086,2204.496204891406,-2532.9882513517437,11822.151348287254,0.0005453193043649662,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1774365515422,1055122599000000,18,0.0,-1457345610823438498,-0.3181953430175781,65.74150029337034,-2.9642244898054755,16.980841735946765,37,21,0.0,49359,65915347980346,61,23.2,-553.7727661132812,1.0130000114440918,16,0.0,0.0,1604250000,,,,0,,3,-45.33,18.2,4845.994140625,20.814550399780273,,,C,1194727305468495,1,6607275.566241162,-17185881.144545034,17660947.028114278,84.06326635415007,2422.545508550352,2322.913377335408,-87668.45357038449,-0.0010906386087299325,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1774365515422,1055122599000000,18,0.0,-1457345610823438498,-0.3181953430175781,65.74150029337034,-2.9642244898054755,16.980841735946765,37,3,0.0,49359,65915343857796,92,20.9,695.534423828125,2.7009999752044678,16,0.0,0.0,1604812500,,,,0,,3,-45.33,15.899999999999999,4845.994140625,20.814550399780273,,,C,1194727305468495,1,-8658407.97580013,7670200.241146162,22782339.594684944,-2854.7200864081506,-1227.9854190860774,-678.0811424030503,42335.40376593926,0.0002726596521824831,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1774365515422,1055122599000000,18,0.0,-1457345610823438498,-0.3181953430175781,65.74150029337034,-2.9642244898054755,16.980841735946765,37,4,0.0,49359,65915354191870,27,29.0,141.8872833251953,0.6225000023841858,16,0.0,0.0,1605375000,,,,0,,3,-45.33,24.0,4845.994140625,20.814550399780273,,,C,1194727305468495,1,8536286.854140898,13828847.037252536,19700779.38627725,-2393.7652132373064,-1235.8869562132681,1907.088504858482,103445.06691573153,0.0008179789565474493,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1774365515422,1055122599000000,18,0.0,-1457345610823438498,-0.3181953430175781,65.74150029337034,-2.9642244898054755,16.980841735946765,37,33,0.0,16399,227919346208838,53,24.1,14.758234024047852,0.934499979019165,16,0.0,0.0,1561098000,,,,0,,5,-53.52,19.1,-492.3288269042969,19.162715911865234,,,I,1194727305468495,1,14343775.570107777,15742490.861752018,18018163.530193076,-2006.8348754324238,-454.4354124479893,1997.6281325418302,-277514.622659126,0.0009339892421849072,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1774365515422,1055122599000000,18,0.0,-1457345610823438498,-0.3181953430175781,65.74150029337034,-2.9642244898054755,16.980841735946765,37,27,0.0,16399,227919349142214,46,25.5,-272.7248840332031,0.8600000143051147,16,0.0,0.0,1561098000,,,,0,,5,-53.52,20.5,-492.3288269042969,19.162715911865234,,,I,1194727305468495,1,14823784.237207036,-6913060.5378467785,22585227.150374666,748.3960530464271,2477.573400526454,267.36826151622336,183222.91455420564,0.0013614112976938486,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1774365515422,1055122599000000,18,0.0,-1457345610823438498,-0.3181953430175781,65.74150029337034,-2.9642244898054755,16.980841735946765,37,2,0.0,17423,227933334547849,80,21.2,578.4737548828125,1.9585000276565552,16,0.0,0.0,1575420000,,,,0,,6,-53.2,16.2,-4.419884204864502,19.241716384887695,,,C,1194727305468495,1,29287463.71910942,-1004451.9290758707,-4243766.841181295,-428.5757070990585,-3.2416688906506153,-2963.804518814139,8235.641531595198,0.0008821456813166151,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
1774365515422,1055122599000000,18,0.0,-1457345610823438498,-0.3181953430175781,65.74150029337034,-2.9642244898054755,16.980841735946765,37,5,0.0,17423,227933332183578,80,21.4,-529.39697265625,1.2055000066757202,16,0.0,0.0,1575420000,,,,0,,6,-53.2,16.4,-4.419884204864502,19.241716384887695,,,C,1194727305468495,1,19220832.906808395,22438177.580351777,-1676893.4457116309,163.30846809518886,86.23941331184857,3015.0632557573113,6606.052100383272,0.0008286453003165661,0.000000021420419216156006,0.000000007450580596923828,-0.00000011920928955078125,0.0,122880.0,0.0,-262144.0,196608.0
